clip_id,path,device,material,region,pressure_mpa,flow_ms,noise_category,window,rep,md5,group_id,fold
c06ccf39a495b,leak acoustic data/ductile iron-NA-0.3231 MPa-0.10 ms-noise logger-0-1_1.wav,noise logger,ductile iron,NA,0.3231 MPa,0.10 ms,NA,0,1,ab8a2a66bfc2ed3817e6dd18225b8aba,g0a0ca7697a,train
c0733c4c950d5,no leak acoustic data/pe-zone 2-NA-NA-noise logger_1-2_4.wav,noise logger,pe,zone 2,NA,NA,NA,1,4,71ae3a44df80b17ce3489313245afa3a,g3aa9a8f111,val
c07be70f98513,no leak acoustic data/pe-zone 2-NA-NA-hydrophone_2-3.wav,hydrophone,pe,zone 2,NA,NA,NA,2,,bdeae1247ce0df9591f6311195884aef,g3aa9a8f111,val
c07c975f95b7e,leak acoustic data/pe-NA-0.3302 MPa-1.44 ms-noise logger-0-1_1.wav,noise logger,pe,NA,0.3302 MPa,1.44 ms,NA,0,1,988974709ccf402e39077016824a1384,gd4598815b5,train
c07e9a820a771,no leak acoustic data/ductile iron-NA-NA-NA-hydrophone_3-4_1.wav,hydrophone,ductile iron,NA,NA,NA,NA,3,1,da678aa996c9f4be36cc3f08cc2d506d,g07ac25f1e0,train
c07f1a9a23449,no leak acoustic data/pe-zone 2-NA-NA-noise logger_3-4_2.wav,noise logger,pe,zone 2,NA,NA,NA,3,2,e66c44ebdd5b79cf1adbea3b3509f34a,g3aa9a8f111,val
c0805b0f448be,no leak acoustic data/NA-NA-NA-NA-hydrophone_0-1_1.wav,hydrophone,NA,NA,NA,NA,NA,0,1,0f5b7bd524aa9f616fa24c92aab81a1b,g60e6ee291d,train
c089e36733958,leak acoustic data/pe-zone 2-0.3245 MPa-1.68 ms-noise logger-0-1.wav,noise logger,pe,zone 2,0.3245 MPa,1.68 ms,NA,0,,3317cf871ed404c164f6ee116f8f2494,gab37cb9a8d,train
c08a67eff0015,no leak acoustic data/steel-zone 1-NA-NA-noise logger_3-4.wav,noise logger,steel,zone 1,NA,NA,NA,3,,87e3532f3cfd4e4ba395e0d06bda4758,ge9b5969de0,train
c0911d89cc12e,leak acoustic data/ductile iron-NA-0.2755 MPa-4.38 ms-noise logger-0-1.wav,noise logger,ductile iron,NA,0.2755 MPa,4.38 ms,NA,0,,dbc9ea19374537bbfd0610dc8ba5961f,gf05d2e1f49,train
c0939263c9853,no leak acoustic data/pe-zone 2-NA-NA-hydrophone_3-4_3.wav,hydrophone,pe,zone 2,NA,NA,NA,3,3,de759f839ebd6715871d67dee94b758c,g3aa9a8f111,val
c0961e1ade67e,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_0-1_4.wav,noise logger,ductile iron,NA,NA,NA,NA,0,4,9fa8f753fc8333e4478462a36c67b5cd,g07ac25f1e0,train
c09845d7bb23e,leak acoustic data/ductile iron-zone 1-0.32 MPa-NA-noise logger-0-1_2.wav,noise logger,ductile iron,zone 1,0.32 MPa,NA,NA,0,2,282f2cd293830826efd523082f0329c0,gc1728a6abf,val
c09d46248c4c7,environmental noise/dog_5-NA-noise logger_0-1.wav,noise logger,NA,NA,NA,NA,dog_5,0,,bb758b3ac1e3ce2335ff7a67a4d5f290,gabeb318a09,val
c09f5a9f2c37e,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_0-1_3.wav,noise logger,ductile iron,NA,NA,NA,NA,0,3,e4a90d075a4b62e35d70ccf7b403d263,g07ac25f1e0,train
c0a700e9fe637,leak acoustic data/ductile iron-NA-0.3137 MPa-0.42 ms-noise logger-0-1.wav,noise logger,ductile iron,NA,0.3137 MPa,0.42 ms,NA,0,,f9241052b2c225a7b266ffea0ae6672e,g52f27520ea,test
c0a9746b5d9ae,leak acoustic data/ductile iron-NA-0.2742 MPa-4.18 ms-hydrophone-0-1.wav,hydrophone,ductile iron,NA,0.2742 MPa,4.18 ms,NA,0,,bde1c58e68c7b3773852f86cd534f481,gbcf550a5ee,train
c0c6081270402,leak acoustic data/ductile iron-NA-0.1545 MPa-3.36 ms-noise logger-0-1.wav,noise logger,ductile iron,NA,0.1545 MPa,3.36 ms,NA,0,,f303bef99c6803a6edbbddc64f94f556,gdc4d4d1b74,train
c0c71a8a9cb3b,no leak acoustic data/ductile iron-zone 2-NA-NA-hydrophone_4-5_2.wav,hydrophone,ductile iron,zone 2,NA,NA,NA,4,2,1cb780dfc695ed4f65649daaa7a96b26,ga4d5f79c1b,test
c0c964c407cd9,no leak acoustic data/ductile iron-zone 2-NA-NA-hydrophone_0-1_2.wav,hydrophone,ductile iron,zone 2,NA,NA,NA,0,2,bbacc6ebf78af1df92537327a5fcfb90,ga4d5f79c1b,test
c0cb708e68599,no leak acoustic data/ductile iron-NA-NA-NA-hydrophone_1-2_1.wav,hydrophone,ductile iron,NA,NA,NA,NA,1,1,94c147136c98984c0eebf46484be7a4a,g07ac25f1e0,train
c0d7da724a381,leak acoustic data/pe-NA-0.2349 MPa-4.10 ms-noise logger-0-1.wav,noise logger,pe,NA,0.2349 MPa,4.10 ms,NA,0,,e072ed287185957dfa68173264dcaaec,gdc4d4d1b74,train
c0da64783fe68,no leak acoustic data/ductile iron-zone 2-NA-NA-hydrophone_2-3_1.wav,hydrophone,ductile iron,zone 2,NA,NA,NA,2,1,8569587281898150329104570550b109,ga4d5f79c1b,test
c0dda64d44b22,no leak acoustic data/pe-zone 2-NA-NA-noise logger_0-1_7.wav,noise logger,pe,zone 2,NA,NA,NA,0,7,6809b40802e61de19debba8ee57b2c2b,g3aa9a8f111,val
c0e1ae9059e5f,leak acoustic data/ductile iron-zone 2-0.312 MPa-0.9 ms-noise logger-0-1_2.wav,noise logger,ductile iron,zone 2,0.312 MPa,0.9 ms,NA,0,2,58d2322f3bf7e615e21a2af71484ac0c,gbd8e42847a,val
c0e232e8abefd,no leak acoustic data/pe-NA-NA-NA-noise logger_1-2_5.wav,noise logger,pe,NA,NA,NA,NA,1,5,c93f625379f700db99930d8f5e66640f,g46286703fa,train
c0e40d3aab938,leak acoustic data/ductile iron-NA-0.2377 MPa-3.95 ms-noise logger-0-1.wav,noise logger,ductile iron,NA,0.2377 MPa,3.95 ms,NA,0,,d61406b8fbbfb6bad5771964eea91146,gcdfe50e5af,test
c0f537ec98725,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_0-1_10.wav,noise logger,ductile iron,NA,NA,NA,NA,0,10,b7b7a28a27557c60ccb90ef8a1c43258,g07ac25f1e0,train
c0f88d4e5d2f8,leak acoustic data/pe-NA-0.3210 MPa-0.2 ms-noise logger-0-1.wav,noise logger,pe,NA,0.3210 MPa,0.2 ms,NA,0,,50fabd9d56753fc16201158d9c8440ed,gdd92357c7e,val
c0f921fc0a408,environmental noise/drilling_8-NA-noise logger_2-3.wav,noise logger,NA,NA,NA,NA,drilling_8,2,,2cf45aa28b23a94de991920023b123ea,g9ab0cbcb70,train
c0fe8fba2c03f,leak acoustic data/ductile iron-zone 2-NA-NA-hydrophone-0-1.wav,hydrophone,ductile iron,zone 2,NA,NA,NA,0,,d84e576d113d16877600420b508dc7ca,g65d97e5de6,test
c10273d0a0209,no leak acoustic data/pe-zone 2-NA-NA-hydrophone_0-1.wav,hydrophone,pe,zone 2,NA,NA,NA,0,,e7a5494582417853d49bab6b2379d62d,g3aa9a8f111,val
c103ffc107587,leak acoustic data/pe-zone 2-0.305 MPa-1.6 ms-noise logger-0-1_1.wav,noise logger,pe,zone 2,0.305 MPa,1.6 ms,NA,0,1,c014e8ae46c1edd39ffe867affae9b3c,gbd8e42847a,val
c10c1667ab97e,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_2-3_3.wav,noise logger,ductile iron,zone 2,NA,NA,NA,2,3,a0268cf791cffc742e0be244ede91945,ga4d5f79c1b,test
c10c680f7a935,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_4-5.wav,noise logger,ductile iron,zone 2,NA,NA,NA,4,,f61eb459c89758ae4fe55555d345b24b,ga4d5f79c1b,test
c10cb1f471566,environmental noise/dog_4-NA-noise logger_0-1.wav,noise logger,NA,NA,NA,NA,dog_4,0,,5f14f75143d2f6e532f5e88f9bf8967d,gdb331c1860,val
c10d8db301dc4,environmental noise/drum-NA-noise logger_0-1.wav,noise logger,NA,NA,NA,NA,drum,0,,9e78d6fa8aef69ffb28f697a750432d6,gd61c1fa88a,train
c10dbbe1fe88e,leak acoustic data/ductile iron-zone 2-0.315 MPa-1.34 ms-noise logger-0-1_4.wav,noise logger,ductile iron,zone 2,0.315 MPa,1.34 ms,NA,0,4,0b448801ba9aec5ef4f7594c42a48280,g411f1c3a8a,train
c10f28ad85eb4,leak acoustic data/ductile iron-NA-0.1803 MPa-3.68 ms-noise logger-0-1_1.wav,noise logger,ductile iron,NA,0.1803 MPa,3.68 ms,NA,0,1,416369c285a0b726dd268aa2ad9a5946,gb6e25e47de,train
c112f81c56ca1,leak acoustic data/pe-NA-0.3202 MPa-0.60 ms-noise logger-0-1.wav,noise logger,pe,NA,0.3202 MPa,0.60 ms,NA,0,,d1584be5a5d05bc1649204fac4ea0cb8,gd37b7e3da0,train
c115e653341a1,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_4-5_5.wav,noise logger,ductile iron,zone 2,NA,NA,NA,4,5,3451f89ab4c3f587e2aab791f155fdbd,ga4d5f79c1b,test
c116a00f4fb3f,leak acoustic data/ductile iron-NA-0.2339 MPa-4.20 ms-noise logger-0-1_1.wav,noise logger,ductile iron,NA,0.2339 MPa,4.20 ms,NA,0,1,0546e1063a9f968563906efc524f559f,g31f494f9af,val
c11831df929ff,no leak acoustic data/steel-zone 1-NA-NA-noise logger_2-3.wav,noise logger,steel,zone 1,NA,NA,NA,2,,a7d41923f08bbd6f110b4081ace1b97e,ge9b5969de0,train
c11e7827033dd,leak acoustic data/pe-NA-0.2437 MPa-3.98 ms-noise logger-0-1.wav,noise logger,pe,NA,0.2437 MPa,3.98 ms,NA,0,,a2dbfa80034cfdcdd3a420e9a5c7189d,g809b43e6f0,test
c122a79440158,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_0-1_11.wav,noise logger,ductile iron,NA,NA,NA,NA,0,11,a4893d5ea7de684781f779cb281f0633,g07ac25f1e0,train
c1269b91604b3,leak acoustic data/ductile iron-NA-0.1771 MPa-3.62 ms-noise logger-0-1.wav,noise logger,ductile iron,NA,0.1771 MPa,3.62 ms,NA,0,,056a85d8267a2e2b9f11aadfdd13d36f,gdc4d4d1b74,train
c128d061d7c0f,no leak acoustic data/pe-NA-NA-NA-noise logger_4-5_4.wav,noise logger,pe,NA,NA,NA,NA,4,4,62966b4717d829b08e2fb62f64503ab4,g46286703fa,train
c132422b849a7,environmental noise/hydrant_normal-NA-noise logger_1-2.wav,noise logger,NA,NA,NA,NA,hydrant_normal,1,,a592c9fb0fc27550358d5dc3662c1427,g03a8c8e492,train
c13b609dbac9e,environmental noise/rain-NA-noise logger_0-1.wav,noise logger,NA,NA,NA,NA,rain,0,,84f4ac0f81450135ba1e6a265f005395,g4db42c620a,train
c14279feb46c4,leak acoustic data/ductile iron-NA-0.2242 MPa-3.90 ms-noise logger-0-1_1.wav,noise logger,ductile iron,NA,0.2242 MPa,3.90 ms,NA,0,1,f932f77b06101b2505eb024dca7fd1ed,gf98db9952c,train
c144c81ae2879,leak acoustic data/ductile iron-zone 2-0.3132 MPa-0.8 ms-noise logger-0-1.wav,noise logger,ductile iron,zone 2,0.3132 MPa,0.8 ms,NA,0,,d647a42cd5006a38962cf3f38d1d53f0,gfe15fdf3e1,test
c14884d921cc1,environmental noise/dog_5-NA-noise logger_3-4.wav,noise logger,NA,NA,NA,NA,dog_5,3,,4173baae6c7f2750a64fa3e9351b7836,gabeb318a09,val
c1499c35cbab2,leak acoustic data/ductile iron-NA-0.3212 MPa-1.23 ms-hydrophone-0-1.wav,hydrophone,ductile iron,NA,0.3212 MPa,1.23 ms,NA,0,,46573a3c79d3a004906c3d43c2e70657,g50b627059e,train
c15011e08795d,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_1-2_2.wav,noise logger,ductile iron,zone 2,NA,NA,NA,1,2,9499a0ff67c7778ae99a70302d820489,ga4d5f79c1b,test
c150583d1dbbe,leak acoustic data/ductile iron-NA-0.2233 MPa-3.77 ms-noise logger-0-1.wav,noise logger,ductile iron,NA,0.2233 MPa,3.77 ms,NA,0,,20c77a15bc6a8b31a9805981752d5682,gb577968cb1,train
c1534fe458cda,leak acoustic data/pe-zone 2-NA-NA-noise logger-0-1_6.wav,noise logger,pe,zone 2,NA,NA,NA,0,6,fa4bf34a8c2468c7acf473c2049df5fa,gd2cdf4b672,test
c1564ac4f839d,leak acoustic data/ductile iron-NA-0.1545 MPa-3.40 ms-noise logger-0-1_1.wav,noise logger,ductile iron,NA,0.1545 MPa,3.40 ms,NA,0,1,70c23d11c17200cace23050ecd98aeb3,gdc4d4d1b74,train
c15d5da067761,no leak acoustic data/pe-zone 2-NA-NA-hydrophone_2-3_1.wav,hydrophone,pe,zone 2,NA,NA,NA,2,1,5ebf454e3e59a7b713fc4a2981ac9f64,g3aa9a8f111,val
c163826f414a4,no leak acoustic data/pe-NA-NA-NA-noise logger_2-3_7.wav,noise logger,pe,NA,NA,NA,NA,2,7,c0be5e0761abaf1518ff651ef2503056,g46286703fa,train
c1683ed31e294,leak acoustic data/pe-NA-0.2761 MPa-4.42 ms-noise logger-0-1.wav,noise logger,pe,NA,0.2761 MPa,4.42 ms,NA,0,,cd354dcb29e30b6c1e06ae8355ae178e,g27ceee2299,train
c168af95e2156,environmental noise/dog_4-NA-noise logger_2-3.wav,noise logger,NA,NA,NA,NA,dog_4,2,,149b6fd283851fdef14af5455455eca1,gdb331c1860,val
c168e7b1c5768,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_4-5_7.wav,noise logger,ductile iron,NA,NA,NA,NA,4,7,dd584c9594b2aeb3d882a905669d41ea,g07ac25f1e0,train
c172f3caf0939,no leak acoustic data/NA-zone 2-NA-NA-noise logger_4-5_2.wav,noise logger,NA,zone 2,NA,NA,NA,4,2,09f271c441c25ecb4528ebdde191a0a5,g4a6d62802d,train
c17c3c87dbd77,environmental noise/drilling_4-NA-noise logger_2-3.wav,noise logger,NA,NA,NA,NA,drilling_4,2,,b3d93d3bbba448a94163a2d77bb53097,g8d6b13227b,train
c186eb3b4bb13,leak acoustic data/pe-NA-0.3091 MPa-4.64 ms-noise logger-0-1_1.wav,noise logger,pe,NA,0.3091 MPa,4.64 ms,NA,0,1,8867a4ca667720cc2c6b5fd421feba34,gb8ea2685b2,train
c189aa961829b,leak acoustic data/pe-NA-0.2349 MPa-4.10 ms-noise logger-0-1_1.wav,noise logger,pe,NA,0.2349 MPa,4.10 ms,NA,0,1,f69582bc1547398a01d774568269fa4c,gdc4d4d1b74,train
c18a6a959b315,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_3-4_11.wav,noise logger,ductile iron,NA,NA,NA,NA,3,11,a97c7f6809d398795e6e6521d4b16bc4,g07ac25f1e0,train
c18d59fc1c422,leak acoustic data/ductile iron-NA-0.2742 MPa-4.18 ms-noise logger-0-1.wav,noise logger,ductile iron,NA,0.2742 MPa,4.18 ms,NA,0,,c3c8034662c5b9962196928d50ea3fda,gbcf550a5ee,train
c18de6d16a39f,environmental noise/engine_2-NA-noise logger_1-2.wav,noise logger,NA,NA,NA,NA,engine_2,1,,55e96775d94a36404cf53022cbd628d8,gc6ab9b7692,val
c18ded00027e1,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_2-3_8.wav,noise logger,ductile iron,NA,NA,NA,NA,2,8,1eec65ecd61b793bfe891c6a09dcd0df,g07ac25f1e0,train
c18e2198c3457,leak acoustic data/ductile iron-NA-0.2688 MPa-4.21 ms-noise logger-0-1_2.wav,noise logger,ductile iron,NA,0.2688 MPa,4.21 ms,NA,0,2,3cde23523743e204f5ed5d6293ce3a28,g88c7bfd6e1,train
c1a020e75d17e,no leak acoustic data/pe-NA-NA-NA-noise logger_2-3_10.wav,noise logger,pe,NA,NA,NA,NA,2,10,c7c3d2867e2450a4ed02c94d328e67dd,g46286703fa,train
c1a51d58f9912,leak acoustic data/pe-NA-0.3249 MPa-1.72 ms-noise logger-0-1.wav,noise logger,pe,NA,0.3249 MPa,1.72 ms,NA,0,,37dd94c976068cf7f44f94157a3d65b7,g9cd3d9a990,val
c1a75063384b0,leak acoustic data/ductile iron-NA-0.3225 MPa-0.57 ms-noise logger-0-1.wav,noise logger,ductile iron,NA,0.3225 MPa,0.57 ms,NA,0,,0d7e29944fe4b6a9d4a19a5d681961e3,gc76b064140,test
c1a8c60507b53,no leak acoustic data/pe-NA-NA-NA-noise logger_4-5_2.wav,noise logger,pe,NA,NA,NA,NA,4,2,2346416185e9ea4a616ca16aed9b283d,g46286703fa,train
c1a8f1d23de2c,leak acoustic data/ductile iron-NA-0.2425 MPa-3.97 ms-hydrophone-0-1.wav,hydrophone,ductile iron,NA,0.2425 MPa,3.97 ms,NA,0,,36171a1e90e01c92c4dfb0f9eaa1cc6c,g5a209470f2,train
c1aa75bc3586d,environmental noise/hydrant-NA-noise logger_2-3.wav,noise logger,NA,NA,NA,NA,hydrant,2,,d3ef07177106c854c05ae30622df989a,g03a8c8e492,train
c1ab4f5e70960,leak acoustic data/ductile iron-NA-0.3227 MPa-1.13 ms-hydrophone-0-1.wav,hydrophone,ductile iron,NA,0.3227 MPa,1.13 ms,NA,0,,cb375102783d1d6688b862c657d3772f,g31a30cc499,train
c1b4b1aa0251e,leak acoustic data/steel-zone 1-0.25 MPa-NA-noise logger-0-1_3.wav,noise logger,steel,zone 1,0.25 MPa,NA,NA,0,3,0fa963294bf080c50edb88b7c4882508,g889c1c063a,test
c1be97c617ebf,leak acoustic data/ductile iron-zone 2-0.315 MPa-1.34 ms-noise logger-0-1_1.wav,noise logger,ductile iron,zone 2,0.315 MPa,1.34 ms,NA,0,1,58d7266adfad4968b61016ce396fcec8,g411f1c3a8a,train
c1c028b713d91,leak acoustic data/pe-NA-0.3265 MPa-1.62 ms-noise logger-0-1.wav,noise logger,pe,NA,0.3265 MPa,1.62 ms,NA,0,,84607108c262ce2644c15f27f62b2676,gaff98a88ce,test
c1c2fe8506dad,leak acoustic data/ductile iron-zone 2-0.31 MPa-1.16 ms-noise logger-0-1_5.wav,noise logger,ductile iron,zone 2,0.31 MPa,1.16 ms,NA,0,5,031f6da4c5ab6a89b4eb721b8e3124f1,gb8b74c622f,test
c1d12c9544383,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_4-5_3.wav,noise logger,ductile iron,zone 2,NA,NA,NA,4,3,083cb7c0e2fc97bbe6a08739346c539e,ga4d5f79c1b,test
c1d63f2fac16f,leak acoustic data/ductile iron-zone 2-0.3249 MPa-1.33 ms-hydrophone-0-1.wav,hydrophone,ductile iron,zone 2,0.3249 MPa,1.33 ms,NA,0,,940ef13a9ed24cc11a326f4161a58f11,g358b38eba1,train
c1d7389b5e3dc,leak acoustic data/ductile iron-NA-0.32 MPa-NA-noise logger-0-1_1.wav,noise logger,ductile iron,NA,0.32 MPa,NA,NA,0,1,0b3f9695cd8cf923061f02f3e7ac6496,gbc971f304e,val
c1d9472c3c5b1,environmental noise/drilling_1-NA-noise logger_1-2.wav,noise logger,NA,NA,NA,NA,drilling_1,1,,e44bd6e14adf60587948eb55fc581fa4,g7318b6ee2e,train
c1dea85a5c168,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_3-4_1.wav,noise logger,ductile iron,NA,NA,NA,NA,3,1,f75cb131f1ba6c7e3240719fe8723092,g07ac25f1e0,train
c1e54ae43a9f6,leak acoustic data/ductile iron-NA-0.3249 MPa-0.01 ms-noise logger-0-1.wav,noise logger,ductile iron,NA,0.3249 MPa,0.01 ms,NA,0,,caa8c20c7692fe37b5653c48271eeaf1,g94a157eb60,train
c1e5a1a35b9a6,leak acoustic data/pe-NA-0.1949 MPa-2.02 ms-noise logger-0-1_1.wav,noise logger,pe,NA,0.1949 MPa,2.02 ms,NA,0,1,dc47ac3c51722e8276c2b42e77d46255,gc88aa3442a,train
c1ed5bae3fcd5,no leak acoustic data/NA-zone 2-NA-NA-noise logger_3-4.wav,noise logger,NA,zone 2,NA,NA,NA,3,,087d369ca746b01763ffe03c8cc36eb1,g4a6d62802d,train
c1ed6145e08e7,leak acoustic data/pe-zone 2-0.3171 MPa-0.57 ms-noise logger-0-1_1.wav,noise logger,pe,zone 2,0.3171 MPa,0.57 ms,NA,0,1,fecd1da0abd70b242ce405ac34314930,g63ca5c18d8,test
c1edfd0896ce2,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_0-1_12.wav,noise logger,ductile iron,zone 2,NA,NA,NA,0,12,7c6249bf7f019e9d93b21ecd43ddcf25,ga4d5f79c1b,test
c1f4f90ceab92,environmental noise/dog_7-NA-noise logger_0-1.wav,noise logger,NA,NA,NA,NA,dog_7,0,,3009ac1db2102fd16c894483cb29ca0d,g04172cba2e,train
c1f52dff62176,no leak acoustic data/ductile iron-zone 2-NA-NA-hydrophone_0-1_3.wav,hydrophone,ductile iron,zone 2,NA,NA,NA,0,3,d3c92a117c95973a2a10e03a078085c0,ga4d5f79c1b,test
c1f6d90ff3109,leak acoustic data/ductile iron-NA-0.3218 MPa-1.15 ms-hydrophone-0-1.wav,hydrophone,ductile iron,NA,0.3218 MPa,1.15 ms,NA,0,,ffa818aeb55689be2eb6289d9b5db3ca,gbd2ed3f884,val
c1f6f5dc288b2,leak acoustic data/ductile iron-zone 2-0.3237 MPa-1.35 ms-noise logger-0-1.wav,noise logger,ductile iron,zone 2,0.3237 MPa,1.35 ms,NA,0,,6314459b8adacc09fba8233234ddcf0d,gf4ed344bc4,train
c1f8778882df2,leak acoustic data/ductile iron-NA-0.1767 MPa-3.50 ms-noise logger-0-1_1.wav,noise logger,ductile iron,NA,0.1767 MPa,3.50 ms,NA,0,1,1377774e1e56b521980da35ea0d14294,g11974daa56,val
c1fb776519059,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_3-4_6.wav,noise logger,ductile iron,NA,NA,NA,NA,3,6,cb1479f710b9327b9f89f2f30ff5970c,g07ac25f1e0,train
c1fc6c093dcc4,no leak acoustic data/pe-NA-NA-NA-noise logger_0-1_20.wav,noise logger,pe,NA,NA,NA,NA,0,20,f22c0e342b4b5d4d0376b973a42a0866,g46286703fa,train
c1fee47f9b4f5,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_0-1_10.wav,noise logger,ductile iron,zone 2,NA,NA,NA,0,10,b788364827ef37ee5391aa683a8a9a04,ga4d5f79c1b,test
c205da3820a47,leak acoustic data/ductile iron-zone 2-0.3132 MPa-0.8 ms-noise logger-0-1_1.wav,noise logger,ductile iron,zone 2,0.3132 MPa,0.8 ms,NA,0,1,9f8f491b2b6cdc0af8ef6f5136e0eb68,gfe15fdf3e1,test
