clip_id,label,label_3c,group_id,device,fold
c0d7da724a381,leak,leak,g5b87e2ecdf,noise logger,test
c0da64783fe68,no_leak,no_leak,g094234dd26,hydrophone,train
c0dda64d44b22,no_leak,no_leak,gea042922d6,noise logger,train
c0e1ae9059e5f,leak,leak,g506e358162,noise logger,train
c0e232e8abefd,no_leak,no_leak,g953e24b384,noise logger,val
c0e40d3aab938,leak,leak,g603bd7abc6,noise logger,test
c0f537ec98725,no_leak,no_leak,g93f57e4971,noise logger,train
c0f88d4e5d2f8,leak,leak,gc738817d71,noise logger,train
c0f921fc0a408,no_leak,noise,gfbae961416,noise logger,train
c0fe8fba2c03f,leak,leak,g89e835056a,hydrophone,val
c10273d0a0209,no_leak,no_leak,ge461b80ac9,hydrophone,train
c103ffc107587,leak,leak,g506e358162,noise logger,train
c10c1667ab97e,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c10c680f7a935,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c10cb1f471566,no_leak,noise,g56541b0ca2,noise logger,train
c10d8db301dc4,no_leak,noise,gbc5a7596b0,noise logger,train
c10dbbe1fe88e,leak,leak,gafc0f4072f,noise logger,train
c10f28ad85eb4,leak,leak,gdbd857e593,noise logger,train
c112f81c56ca1,leak,leak,g92ebe4b6ef,noise logger,train
c115e653341a1,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c116a00f4fb3f,leak,leak,g54d07bb642,noise logger,train
c11831df929ff,no_leak,no_leak,g3dc66f5a62,noise logger,train
c11e7827033dd,leak,leak,geec76fe10f,noise logger,val
c122a79440158,no_leak,no_leak,g93f57e4971,noise logger,train
c1269b91604b3,leak,leak,gd20a2b9c29,noise logger,train
c128d061d7c0f,no_leak,no_leak,g953e24b384,noise logger,val
c132422b849a7,no_leak,noise,g48faea8687,noise logger,train
c13b609dbac9e,no_leak,noise,gee16bed717,noise logger,val
c14279feb46c4,leak,leak,gf3ca82006e,noise logger,test
c144c81ae2879,leak,leak,g2b5e88ca49,noise logger,test
c14884d921cc1,no_leak,noise,g2699508b27,noise logger,train
c1499c35cbab2,leak,leak,g94b1119776,hydrophone,train
c15011e08795d,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c150583d1dbbe,leak,leak,gd7c7c04d20,noise logger,test
c1534fe458cda,leak,leak,g5142c16106,noise logger,train
c1564ac4f839d,leak,leak,g98b0f1afcd,noise logger,test
c15d5da067761,no_leak,no_leak,ge461b80ac9,hydrophone,train
c163826f414a4,no_leak,no_leak,g953e24b384,noise logger,val
c1683ed31e294,leak,leak,gc1d71cfa61,noise logger,train
c168af95e2156,no_leak,noise,g56541b0ca2,noise logger,train
c168e7b1c5768,no_leak,no_leak,g93f57e4971,noise logger,train
c172f3caf0939,no_leak,no_leak,g05e2446a61,noise logger,train
c17c3c87dbd77,no_leak,noise,g3f9430c0b8,noise logger,test
c186eb3b4bb13,leak,leak,g58cde69b07,noise logger,train
c189aa961829b,leak,leak,g5b87e2ecdf,noise logger,test
c18a6a959b315,no_leak,no_leak,g93f57e4971,noise logger,train
c18d59fc1c422,leak,leak,g14c7558ceb,noise logger,train
c18de6d16a39f,no_leak,noise,gf2b94f59db,noise logger,test
c18ded00027e1,no_leak,no_leak,g93f57e4971,noise logger,train
c18e2198c3457,leak,leak,gc3934ed536,noise logger,val
c1a020e75d17e,no_leak,no_leak,g953e24b384,noise logger,val
c1a51d58f9912,leak,leak,g8e07d12abb,noise logger,test
c1a75063384b0,leak,leak,geeb689b816,noise logger,train
c1a8c60507b53,no_leak,no_leak,g953e24b384,noise logger,val
c1a8f1d23de2c,leak,leak,g470b4cd1a9,hydrophone,train
c1aa75bc3586d,no_leak,noise,g48faea8687,noise logger,train
c1ab4f5e70960,leak,leak,g206ad93d54,hydrophone,train
c1b4b1aa0251e,leak,leak,g7bfd5a740e,noise logger,val
c1be97c617ebf,leak,leak,gafc0f4072f,noise logger,train
c1c028b713d91,leak,leak,g40e6f408ef,noise logger,train
c1c2fe8506dad,leak,leak,ge2e91c6ef4,noise logger,train
c1d12c9544383,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c1d63f2fac16f,leak,leak,g3e241956a5,hydrophone,train
c1d7389b5e3dc,leak,leak,g9d9b22b231,noise logger,train
c1d9472c3c5b1,no_leak,noise,g7a1bb411f9,noise logger,train
c1dea85a5c168,no_leak,no_leak,g93f57e4971,noise logger,train
c1e54ae43a9f6,leak,leak,gf1d9f8e57a,noise logger,train
c1e5a1a35b9a6,leak,leak,g2568a67ee7,noise logger,train
c1ed5bae3fcd5,no_leak,no_leak,g05e2446a61,noise logger,train
c1ed6145e08e7,leak,leak,g0acca23c7a,noise logger,train
c1edfd0896ce2,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c1f4f90ceab92,no_leak,noise,g4f536cdb1f,noise logger,train
c1f52dff62176,no_leak,no_leak,g094234dd26,hydrophone,train
c1f6d90ff3109,leak,leak,ga507d2b3aa,hydrophone,train
c1f6f5dc288b2,leak,leak,g3430d68adc,noise logger,train
c1f8778882df2,leak,leak,gbb52205e9a,noise logger,test
c1fb776519059,no_leak,no_leak,g93f57e4971,noise logger,train
c1fc6c093dcc4,no_leak,no_leak,g953e24b384,noise logger,val
c1fee47f9b4f5,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c205da3820a47,leak,leak,g2b5e88ca49,noise logger,test
c20b154e99c77,no_leak,noise,gfc8ccbf519,noise logger,train
c20c972efdcce,no_leak,no_leak,g89cac0676b,hydrophone,test
c211a8d93216b,no_leak,no_leak,g93f57e4971,noise logger,train
c21382c66a1e0,no_leak,no_leak,g953e24b384,noise logger,val
c213d953c93c7,no_leak,noise,g0e3913060e,noise logger,test
c2149f5a4bc9e,no_leak,no_leak,g953e24b384,noise logger,val
c218cadc2240b,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c21d17c5364a6,leak,leak,gbb125903cd,noise logger,val
c21fec37cf71a,leak,leak,g507ad2af92,noise logger,val
c22636298a23e,no_leak,noise,g5b9059d3c0,noise logger,test
c229af2fd57d6,leak,leak,g90008d534d,noise logger,val
c22b434ae486d,leak,leak,g286d8484cb,noise logger,train
c239d96cc7621,leak,leak,g84e6df9a56,noise logger,val
c2417970779b9,no_leak,noise,gfc8ccbf519,noise logger,train
c2466a0762a38,leak,leak,gc0861234f5,noise logger,train
c24b6690dc003,leak,leak,g428d4a7bb3,noise logger,train
c24bf7667eff5,no_leak,noise,g9f65caa4cc,noise logger,train
c24c62e755fb2,leak,leak,g4b6caecd15,hydrophone,train
c252a911dacef,leak,leak,g5a2aff033f,noise logger,train
c255805e4789f,leak,leak,g0c38813e32,hydrophone,train
c25f1d27f19ab,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c260be2fa2319,leak,leak,g45651243a9,hydrophone,val
c265367c30825,no_leak,no_leak,g90d728455c,hydrophone,train
c26b98ad14b71,no_leak,no_leak,ge461b80ac9,hydrophone,train
c272ce4cb0a81,leak,leak,g5ac9b10b66,noise logger,val
c27365e6220c2,leak,leak,gba7632f5bc,noise logger,test
c27615e885482,leak,leak,g14d0f01183,hydrophone,test
c277454df54af,leak,leak,gc3934ed536,noise logger,val
c27bcc7508126,leak,leak,g3e241956a5,noise logger,train
c27cee2838d7a,leak,leak,g286d8484cb,noise logger,train
c27f20596e4e6,no_leak,no_leak,g953e24b384,noise logger,val
c283bca91f35e,no_leak,no_leak,gea042922d6,noise logger,train
c284910639b81,no_leak,noise,g9c6aca4851,noise logger,train
c285e347060a7,leak,leak,g0144df7ccf,noise logger,train
c29147b0882e2,leak,leak,gacaf3cb799,noise logger,test
c299b5b4aae15,leak,leak,g4618439c18,noise logger,val
c29d2d1cdd85f,no_leak,noise,gbb537ffe61,noise logger,train
c2a910ad7f603,no_leak,no_leak,g953e24b384,noise logger,val
c2a95223c7bb8,leak,leak,g3dac9ed788,hydrophone,test
c2adb1fc69ff8,leak,leak,ge2e91c6ef4,noise logger,train
c2b209108b35d,leak,leak,gb3c8b4b1e6,noise logger,train
c2b5b840613ec,leak,leak,g98fffd4021,noise logger,val
c2b5d9d0953cd,leak,leak,g5142c16106,noise logger,train
c2b8185b115a8,leak,leak,gc7720830fc,noise logger,train
c2b9686ec0b66,leak,leak,g68626bd706,noise logger,train
c2bae7438d26f,no_leak,no_leak,g93f57e4971,noise logger,train
c2bbf06b85c39,no_leak,no_leak,gea042922d6,noise logger,train
c2c0781b810b9,no_leak,no_leak,g3cc844e970,hydrophone,train
c2c13a3c5c847,leak,leak,g70d3296e66,hydrophone,train
c2c2b62f65cd0,no_leak,no_leak,gea042922d6,noise logger,train
c2c5757d3818f,no_leak,no_leak,g3cc844e970,hydrophone,train
c2c65e7f132d3,leak,leak,g3e395548cb,noise logger,val
c2d3366744da6,no_leak,no_leak,g89cac0676b,hydrophone,test
c2d54c2c7191b,leak,leak,gd240bae1de,hydrophone,train
c2d6485f4f337,leak,leak,g54d07bb642,noise logger,train
c2dd36ac4ea38,no_leak,no_leak,gea042922d6,noise logger,train
c2dfdb38d147e,no_leak,no_leak,g93f57e4971,noise logger,train
c2e1175a2b262,leak,leak,g476d513930,noise logger,train
c2e1f4b029952,leak,leak,g909c5a2d5a,hydrophone,train
c2e20fedcad53,leak,leak,g3277d84a47,noise logger,train
c2e3e909174c4,no_leak,noise,g8f7a0cb859,noise logger,train
c2e7509679ef5,no_leak,no_leak,g953e24b384,noise logger,val
c2ebcb34181f8,no_leak,no_leak,g953e24b384,noise logger,val
c2ec1a9453559,leak,leak,gc2fd925280,noise logger,test
c2ecd0fa43d40,no_leak,no_leak,g094234dd26,hydrophone,train
c2f249a637ac4,leak,leak,gfb96d0b918,noise logger,train
c2f625de9294d,leak,leak,g5d6cd9f146,noise logger,train
c2f88dd642dc9,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c2fa3d2c64396,no_leak,no_leak,g094234dd26,hydrophone,train
c2fc07cf00173,leak,leak,g43e94f21f9,noise logger,train
c2fe894a582ae,no_leak,noise,g0972f8707d,noise logger,train
c2ffeffaf5c54,leak,leak,g68626bd706,noise logger,train
c30025926aa4b,leak,leak,g15a56e1313,noise logger,test
c302c6711a801,leak,leak,g2ec5024e12,noise logger,train
c3053a1cff2b1,leak,leak,g206926bdff,hydrophone,val
c30617b58ed2d,leak,leak,g84e6df9a56,noise logger,val
c30be90df9034,no_leak,noise,g6d2840f148,noise logger,train
c3147be2ea41d,no_leak,no_leak,g953e24b384,noise logger,val
c314af95e5f64,leak,leak,gc3c4957b0d,hydrophone,test
c31664f156265,leak,leak,g857176f12d,noise logger,test
c319fbeb58840,leak,leak,g072087e232,noise logger,train
c31a88363a2b6,no_leak,noise,gf2b94f59db,noise logger,test
c31dfc36d9429,leak,leak,gf01fea4a96,noise logger,train
c31ea3142c163,leak,leak,g7bfd5a740e,noise logger,val
c320c859a0212,no_leak,no_leak,g93f57e4971,noise logger,train
c324732bf50e7,no_leak,no_leak,ge461b80ac9,hydrophone,train
c327fafdf06d1,leak,leak,gd6710855ea,noise logger,train
c32debd0f41e6,leak,leak,gdbddc4e990,noise logger,train
c32e9ddbcf512,leak,leak,gf1d9f8e57a,noise logger,train
c3304359734ea,leak,leak,g82dfd833d5,hydrophone,train
c332cd97e3344,leak,leak,gf01fea4a96,hydrophone,train
c33454b6946ab,no_leak,no_leak,g3cc844e970,hydrophone,train
c33b9ec7b16e8,leak,leak,gd37c215a0d,noise logger,train
c341e4bf862ad,leak,leak,g071e97a2d7,noise logger,train
c344f46167aa8,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c349962db1de6,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c34c03a8f4d12,no_leak,no_leak,ge461b80ac9,hydrophone,train
c3557ad92637c,no_leak,noise,g9c6aca4851,noise logger,train
c357b15613e8b,leak,leak,gfb717eb434,hydrophone,train
c357e8e39d7f0,leak,leak,gc3934ed536,noise logger,val
c359805e182ff,no_leak,no_leak,gea042922d6,noise logger,train
c360f9c34e370,leak,leak,g490c8b2595,noise logger,train
c36185eaa50d7,no_leak,no_leak,gea042922d6,noise logger,train
c362698ae79b5,leak,leak,g57e9c44b88,noise logger,val
c36359baaaf59,no_leak,no_leak,g953e24b384,noise logger,val
c3694d0758433,no_leak,no_leak,g953e24b384,noise logger,val
c36eda6b94106,no_leak,noise,gfbae961416,noise logger,train
c37c7984c0c4f,no_leak,no_leak,g93f57e4971,noise logger,train
c37f2b3fca106,no_leak,no_leak,g93f57e4971,noise logger,train
c3919fdf6a141,no_leak,no_leak,ge461b80ac9,hydrophone,train
c3a2f1d312087,no_leak,no_leak,g89cac0676b,hydrophone,test
c3a54e1228375,no_leak,no_leak,g93f57e4971,noise logger,train
c3a78958bcf50,leak,leak,g4f19b097f7,noise logger,test
c3b228fa8030d,leak,leak,g57530c30f4,noise logger,train
c3b34b6d95497,leak,leak,g21e4feae5d,hydrophone,test
c3b743c669721,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c3ba3126429f6,no_leak,no_leak,g3cc844e970,hydrophone,train
c3babd01aea3e,leak,leak,gf74e43eb6d,hydrophone,train
c3bd3873e11c7,leak,leak,g84e6df9a56,noise logger,val
c3c173dc615a2,no_leak,no_leak,g094234dd26,hydrophone,train
c3c559ca31f61,no_leak,no_leak,g953e24b384,noise logger,val
c3cd9a1ae0e6b,no_leak,no_leak,g05e2446a61,noise logger,train
c3d88ef161d0d,leak,leak,ge95fc27284,noise logger,val
c3d97dffa787c,no_leak,noise,gafcd56ed8e,noise logger,test
c3d9f0115f159,no_leak,no_leak,ge461b80ac9,hydrophone,train
c3e3923c46a6a,leak,leak,ge63afe2a67,noise logger,train
c3f4ad6feaae7,no_leak,no_leak,g1a1e006151,noise logger,test
c3f55dc63fc06,leak,leak,ge95fc27284,noise logger,val
c3f681c16daf0,leak,leak,g9c47e56729,noise logger,train
c4009fed4726f,no_leak,no_leak,g93f57e4971,noise logger,train
c404a4d0bccf9,no_leak,noise,g0972f8707d,noise logger,train
c404c110f5014,leak,leak,gd633d9c2a7,noise logger,test
c405b5009dfcc,leak,leak,g428d4a7bb3,noise logger,train
c4065022ff781,no_leak,noise,g0e3913060e,noise logger,test
c4123c493a2e2,no_leak,noise,gf283b20fab,noise logger,train
c4194701114cb,no_leak,no_leak,g89cac0676b,hydrophone,test
c41d8f7392b73,leak,leak,g9652c63613,noise logger,train
c42044c6c967e,no_leak,noise,gc338fc839e,noise logger,train
c4223cfd6c9a7,leak,leak,ga264ca40cc,hydrophone,train
c422b4e502ef8,leak,leak,g45714eae75,noise logger,train
c423c0ee36b07,no_leak,no_leak,g93f57e4971,noise logger,train
c4241382283c1,leak,leak,g286d8484cb,noise logger,train
c424eaa6fb66d,no_leak,no_leak,g93f57e4971,noise logger,train
c426e0dfd687a,leak,leak,g22f99b9ae0,hydrophone,train
c42980f8ee1d2,no_leak,no_leak,g1a1e006151,noise logger,test
c43b01676d4a6,leak,leak,geeb689b816,noise logger,train
c43d1d3739c55,no_leak,noise,g5e13531e77,noise logger,train
c43d5de714166,leak,leak,g4618439c18,noise logger,val
c446014999134,no_leak,no_leak,gea042922d6,noise logger,train
c44a5700b25a9,leak,leak,g95b4121ccc,hydrophone,train
c44e7e333e49c,no_leak,noise,g5e13531e77,noise logger,train
c451dc9a7aee5,leak,leak,g490c8b2595,noise logger,train
c4531f3f68c3d,no_leak,no_leak,g93f57e4971,noise logger,train
c45d529556769,no_leak,no_leak,g506666f9cd,noise logger,val
c45d6fd044845,leak,leak,g91fbce6ceb,noise logger,test
c45ef1394ce7d,no_leak,no_leak,g89cac0676b,hydrophone,test
c45faafac76b4,no_leak,no_leak,g094234dd26,hydrophone,train
c46047f8f11e7,leak,leak,gd8928d0702,noise logger,train
c46349e666c00,no_leak,no_leak,g953e24b384,noise logger,val
c46568b3af1b0,no_leak,no_leak,g3dc66f5a62,noise logger,train
c46a2f827cb8e,no_leak,no_leak,g953e24b384,noise logger,val
c46bb2eb3f09b,leak,leak,g506e358162,noise logger,train
c475678ae6ef8,leak,leak,ge8847668a7,hydrophone,train
c4797d1d717aa,no_leak,no_leak,gea042922d6,noise logger,train
c481e6c9d4b12,leak,leak,g43e94f21f9,noise logger,train
c483b56484ea5,leak,leak,ge955baee5a,noise logger,train
c483c2ee8d383,leak,leak,gebd2f87f75,noise logger,train
c48422d0520de,no_leak,no_leak,g953e24b384,noise logger,val
c48604ce69cc7,no_leak,noise,g8f7a0cb859,noise logger,train
c48771c3d97f5,leak,leak,g4a576e51e1,noise logger,train
c48dec7ba6c91,leak,leak,g3a101f83e1,hydrophone,train
c4a7854f53842,no_leak,no_leak,g93f57e4971,noise logger,train
c4aa009466bd9,leak,leak,gc9bce57238,noise logger,train
c4aa6a51658e8,leak,leak,g5000572014,hydrophone,train
c4ab5e59c0389,no_leak,no_leak,g89cac0676b,hydrophone,test
c4ae8944ab2a9,leak,leak,gf3e5ccf98e,noise logger,val
c4b2e80648cd5,no_leak,no_leak,g953e24b384,noise logger,val
c4b8ccff15ae0,leak,leak,gdbd857e593,noise logger,train
c4bf6a97e2cae,no_leak,noise,g7a1bb411f9,noise logger,train
c4bfadb83d3a1,no_leak,noise,gdb1eae8552,noise logger,val
c4c1da453683a,leak,leak,ga6e3a5a671,hydrophone,train
c4c44b6b5ad5b,leak,leak,g9e7f324ad1,noise logger,test
c4ce67f4b6dcb,no_leak,no_leak,g3cc844e970,hydrophone,train
c4cebd98eb883,no_leak,no_leak,ge461b80ac9,hydrophone,train
c4d60c890e072,no_leak,no_leak,g3dc66f5a62,noise logger,train
c4dd83943373a,no_leak,no_leak,g953e24b384,noise logger,val
c4e7f6b33ed4c,leak,leak,g84e6df9a56,noise logger,val
c4e8a21a3dbd8,leak,leak,g608ed34a62,noise logger,train
c4e93daa7ff67,no_leak,no_leak,g1a1e006151,noise logger,test
c4ea61abbc908,leak,leak,gfd5a19364f,noise logger,val
c4ebb971b1567,no_leak,no_leak,g93f57e4971,noise logger,train
c4ee01a96314b,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c4ef9953000c4,leak,leak,g7b4758ba43,hydrophone,train
c4f0131614c87,leak,leak,ge294e6a1f3,noise logger,train
c4f10806e3732,leak,leak,g41c64e6544,noise logger,test
c4fb944f67bb2,no_leak,no_leak,gea042922d6,noise logger,train
c5024ce133721,no_leak,no_leak,g89cac0676b,hydrophone,test
c50b87f7091de,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c50c4f2d91963,no_leak,no_leak,ge461b80ac9,hydrophone,train
c50cd33c4f25e,leak,leak,g462d4b1089,hydrophone,train
c511119b56f0a,no_leak,noise,g73818a446f,noise logger,val
c51565ea58fe0,no_leak,no_leak,g953e24b384,noise logger,val
c515a9a248c2c,leak,leak,g0d87d3c09a,hydrophone,train
c515e5a91852d,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c51941b2ae81a,leak,leak,g898c7b63a7,hydrophone,train
c51b7eba14bd6,leak,leak,gb3c1e9585c,noise logger,train
c51bc0f90becd,leak,leak,gbbc4cf2d36,noise logger,train
c51eb51347f21,no_leak,no_leak,g93f57e4971,noise logger,train
c5221e555e452,leak,leak,gc93c129beb,hydrophone,train
c52262f16cdaa,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c5252a01e683d,no_leak,noise,g48faea8687,noise logger,train
c52a7051e7040,leak,leak,ge2e91c6ef4,noise logger,train
c52ac42cd3a00,no_leak,no_leak,gea042922d6,noise logger,train
c52d40bdeea80,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c52ebd5ec2893,leak,leak,ga5d7a7c25b,noise logger,train
c52fdf1f29a5d,leak,leak,g91e35525fa,noise logger,train
c53160ce4a15e,leak,leak,g2b5e88ca49,hydrophone,test
c538ffa19559f,leak,leak,g3430d68adc,noise logger,train
c53c233dacf3e,leak,leak,ga3c57089d6,hydrophone,val
c53ec11e3e7c7,leak,leak,ga2ddd8b5ff,noise logger,train
c5405732725d3,leak,leak,g64ce126ceb,noise logger,test
c5417777b1bbd,leak,leak,g779474bd13,noise logger,train
c5478ba2d5a89,no_leak,no_leak,g93f57e4971,noise logger,train
c548a3727526c,leak,leak,gdbc5929ddb,noise logger,train
c54cff5549618,no_leak,no_leak,g90d728455c,hydrophone,train
c54d3b50ef138,no_leak,no_leak,g3cc844e970,hydrophone,train
c54ea8cbe7c5a,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c550fe5319c3d,no_leak,no_leak,gea042922d6,noise logger,train
c5518d26c178b,leak,leak,g92ff845564,hydrophone,val
c55ae3a3fe08f,leak,leak,gebd2f87f75,noise logger,train
c561239dda450,no_leak,noise,ge4d8e6b0f6,noise logger,test
c568c11597717,leak,leak,g506e358162,hydrophone,train
c56a2c6ca0892,leak,leak,g8bb2546de4,noise logger,train
c576f9df6e162,no_leak,noise,g73818a446f,noise logger,val
c577bdb8f8808,no_leak,no_leak,g953e24b384,noise logger,val
c58521959ee09,leak,leak,g632a2e7108,noise logger,train
c5882dca3e0a9,no_leak,noise,g0972f8707d,noise logger,train
c59310f45faab,leak,leak,g5142c16106,noise logger,train
c59494c4e233c,no_leak,noise,g9c6aca4851,noise logger,train
c5969ebc6bfcb,leak,leak,ge9eb498260,noise logger,train
c5a4c13d780fb,leak,leak,gf3ca82006e,noise logger,test
c5adf62854458,leak,leak,g7f4abaf898,hydrophone,val
c5b4522e17477,no_leak,noise,g4f536cdb1f,noise logger,train
c5bba62a4a052,no_leak,noise,gbb537ffe61,noise logger,train
c5bbf50ad83e0,no_leak,noise,g48faea8687,noise logger,train
c5c25beb01fd8,no_leak,no_leak,gb47d734896,noise logger,train
c5c5903c1822a,leak,leak,g7bc95f0f9f,noise logger,train
c5c60005e5f43,leak,leak,ge2e91c6ef4,noise logger,train
c5c89efaa36f3,no_leak,no_leak,gea042922d6,noise logger,train
c5c8f9d3d19da,no_leak,no_leak,gea042922d6,noise logger,train
c5d3608b6230d,no_leak,no_leak,g93f57e4971,noise logger,train
c5dbb83749d5b,leak,leak,gf3e5ccf98e,noise logger,val
c5e24e8064171,no_leak,no_leak,g953e24b384,noise logger,val
c5eb4472b1b2e,no_leak,no_leak,g93f57e4971,noise logger,train
c5f033e45aca1,no_leak,no_leak,g93f57e4971,noise logger,train
c5f29eeabae8a,no_leak,no_leak,g93f57e4971,noise logger,train
c5fa0219bdd8d,no_leak,no_leak,g93f57e4971,noise logger,train
c5fa80d40409a,leak,leak,g506e358162,noise logger,train
c5ffdab287421,leak,leak,gafc0f4072f,noise logger,train
c604d2bdf8a54,no_leak,no_leak,ge461b80ac9,hydrophone,train
c609cf09670e6,leak,leak,g6d4387db99,noise logger,train
c611e16457512,leak,leak,g4c6731efc4,noise logger,test
c61500fa08d75,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c61b37cbd2848,no_leak,noise,g8dd889efaf,noise logger,val
c61d6fddd9454,leak,leak,ge2e91c6ef4,noise logger,train
c620fa5ef58ff,no_leak,no_leak,gea042922d6,noise logger,train
c6236482dc10c,no_leak,no_leak,g93f57e4971,noise logger,train
c62aba77a5a76,leak,leak,g506e358162,noise logger,train
c6319dfab0223,no_leak,noise,g9c6aca4851,noise logger,train
c633861a18148,no_leak,no_leak,ge461b80ac9,hydrophone,train
c63e2c213d4c3,leak,leak,g951b8e75a2,noise logger,train
c64160dd826c1,leak,leak,g4f19b097f7,noise logger,test
c641e51be72f8,no_leak,no_leak,g953e24b384,noise logger,val
c64243712bd02,no_leak,no_leak,g953e24b384,noise logger,val
c6450add89e89,no_leak,no_leak,g93f57e4971,noise logger,train
c64539ba804e2,no_leak,no_leak,g953e24b384,noise logger,val
c65266e74bed5,no_leak,noise,gf2b94f59db,noise logger,test
c652f52c7f1d2,no_leak,no_leak,g3fbe7ffa72,noise logger,test
c656d7aa59416,no_leak,noise,gc8eff1da18,noise logger,val
c65ba20f1031b,no_leak,no_leak,g93f57e4971,noise logger,train
c65bf9aed92aa,leak,leak,g41c64e6544,noise logger,test
c65dafe1ee595,no_leak,no_leak,g93f57e4971,noise logger,train
c6626248f43db,leak,leak,g21f63a491e,hydrophone,test
c662ad24aa34b,no_leak,no_leak,g953e24b384,noise logger,val
c669a4ff99d0c,leak,leak,g212481f9a2,noise logger,test
c66e1773fcc5c,no_leak,noise,g0e3913060e,noise logger,test
c66f70dea6bb1,no_leak,no_leak,g93f57e4971,noise logger,train
c671edf2683e3,no_leak,no_leak,gea042922d6,noise logger,train
c673101756e34,leak,leak,g18ef74b7f6,hydrophone,train
c6775ffd42d51,no_leak,no_leak,ge461b80ac9,hydrophone,train
c6793f133fb84,no_leak,no_leak,g89cac0676b,hydrophone,test
c682e47ff5af3,leak,leak,gbbc4cf2d36,noise logger,train
c6912ec3ca658,leak,leak,g2a51fcaea3,noise logger,val
c6920a1e92415,leak,leak,g98fffd4021,noise logger,val
c69396caf286c,leak,leak,g0361505a81,noise logger,val
c69a2a157ba8e,no_leak,no_leak,g953e24b384,noise logger,val
