clip_id,path,material,region,pressure_mpa,flow_ms,noise_category,window,rep,md5,group_id,fold
c168af95e2156,environmental noise/dog_4-NA-noise logger_2-3.wav,NA,NA,NA,NA,dog_4,2,,149b6fd283851fdef14af5455455eca1,g56541b0ca2,train
c168e7b1c5768,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_4-5_7.wav,ductile iron,NA,NA,NA,NA,4,7,dd584c9594b2aeb3d882a905669d41ea,g93f57e4971,train
c172f3caf0939,no leak acoustic data/NA-zone 2-NA-NA-noise logger_4-5_2.wav,NA,zone 2,NA,NA,NA,4,2,09f271c441c25ecb4528ebdde191a0a5,g05e2446a61,train
c17c3c87dbd77,environmental noise/drilling_4-NA-noise logger_2-3.wav,NA,NA,NA,NA,drilling_4,2,,b3d93d3bbba448a94163a2d77bb53097,g3f9430c0b8,test
c186eb3b4bb13,leak acoustic data/pe-NA-0.3091 MPa-4.64 ms-noise logger-0-1_1.wav,pe,NA,0.3091 MPa,4.64 ms,NA,0,1,8867a4ca667720cc2c6b5fd421feba34,g58cde69b07,train
c189aa961829b,leak acoustic data/pe-NA-0.2349 MPa-4.10 ms-noise logger-0-1_1.wav,pe,NA,0.2349 MPa,4.10 ms,NA,0,1,f69582bc1547398a01d774568269fa4c,g5b87e2ecdf,test
c18a6a959b315,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_3-4_11.wav,ductile iron,NA,NA,NA,NA,3,11,a97c7f6809d398795e6e6521d4b16bc4,g93f57e4971,train
c18d59fc1c422,leak acoustic data/ductile iron-NA-0.2742 MPa-4.18 ms-noise logger-0-1.wav,ductile iron,NA,0.2742 MPa,4.18 ms,NA,0,,c3c8034662c5b9962196928d50ea3fda,g14c7558ceb,train
c18de6d16a39f,environmental noise/engine_2-NA-noise logger_1-2.wav,NA,NA,NA,NA,engine_2,1,,55e96775d94a36404cf53022cbd628d8,gf2b94f59db,test
c18ded00027e1,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_2-3_8.wav,ductile iron,NA,NA,NA,NA,2,8,1eec65ecd61b793bfe891c6a09dcd0df,g93f57e4971,train
c18e2198c3457,leak acoustic data/ductile iron-NA-0.2688 MPa-4.21 ms-noise logger-0-1_2.wav,ductile iron,NA,0.2688 MPa,4.21 ms,NA,0,2,3cde23523743e204f5ed5d6293ce3a28,gc3934ed536,val
c1a020e75d17e,no leak acoustic data/pe-NA-NA-NA-noise logger_2-3_10.wav,pe,NA,NA,NA,NA,2,10,c7c3d2867e2450a4ed02c94d328e67dd,g953e24b384,val
c1a51d58f9912,leak acoustic data/pe-NA-0.3249 MPa-1.72 ms-noise logger-0-1.wav,pe,NA,0.3249 MPa,1.72 ms,NA,0,,37dd94c976068cf7f44f94157a3d65b7,g8e07d12abb,test
c1a75063384b0,leak acoustic data/ductile iron-NA-0.3225 MPa-0.57 ms-noise logger-0-1.wav,ductile iron,NA,0.3225 MPa,0.57 ms,NA,0,,0d7e29944fe4b6a9d4a19a5d681961e3,geeb689b816,train
c1a8c60507b53,no leak acoustic data/pe-NA-NA-NA-noise logger_4-5_2.wav,pe,NA,NA,NA,NA,4,2,2346416185e9ea4a616ca16aed9b283d,g953e24b384,val
c1a8f1d23de2c,leak acoustic data/ductile iron-NA-0.2425 MPa-3.97 ms-hydrophone-0-1.wav,ductile iron,NA,0.2425 MPa,3.97 ms,NA,0,,36171a1e90e01c92c4dfb0f9eaa1cc6c,g470b4cd1a9,train
c1aa75bc3586d,environmental noise/hydrant-NA-noise logger_2-3.wav,NA,NA,NA,NA,hydrant,2,,d3ef07177106c854c05ae30622df989a,g48faea8687,train
c1ab4f5e70960,leak acoustic data/ductile iron-NA-0.3227 MPa-1.13 ms-hydrophone-0-1.wav,ductile iron,NA,0.3227 MPa,1.13 ms,NA,0,,cb375102783d1d6688b862c657d3772f,g206ad93d54,train
c1b4b1aa0251e,leak acoustic data/steel-zone 1-0.25 MPa-NA-noise logger-0-1_3.wav,steel,zone 1,0.25 MPa,NA,NA,0,3,0fa963294bf080c50edb88b7c4882508,g7bfd5a740e,val
c1be97c617ebf,leak acoustic data/ductile iron-zone 2-0.315 MPa-1.34 ms-noise logger-0-1_1.wav,ductile iron,zone 2,0.315 MPa,1.34 ms,NA,0,1,58d7266adfad4968b61016ce396fcec8,gafc0f4072f,train
c1c028b713d91,leak acoustic data/pe-NA-0.3265 MPa-1.62 ms-noise logger-0-1.wav,pe,NA,0.3265 MPa,1.62 ms,NA,0,,84607108c262ce2644c15f27f62b2676,g40e6f408ef,train
c1c2fe8506dad,leak acoustic data/ductile iron-zone 2-0.31 MPa-1.16 ms-noise logger-0-1_5.wav,ductile iron,zone 2,0.31 MPa,1.16 ms,NA,0,5,031f6da4c5ab6a89b4eb721b8e3124f1,ge2e91c6ef4,train
c1d12c9544383,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_4-5_3.wav,ductile iron,zone 2,NA,NA,NA,4,3,083cb7c0e2fc97bbe6a08739346c539e,g3fbe7ffa72,test
c1d63f2fac16f,leak acoustic data/ductile iron-zone 2-0.3249 MPa-1.33 ms-hydrophone-0-1.wav,ductile iron,zone 2,0.3249 MPa,1.33 ms,NA,0,,940ef13a9ed24cc11a326f4161a58f11,g3e241956a5,train
c1d7389b5e3dc,leak acoustic data/ductile iron-NA-0.32 MPa-NA-noise logger-0-1_1.wav,ductile iron,NA,0.32 MPa,NA,NA,0,1,0b3f9695cd8cf923061f02f3e7ac6496,g9d9b22b231,train
c1d9472c3c5b1,environmental noise/drilling_1-NA-noise logger_1-2.wav,NA,NA,NA,NA,drilling_1,1,,e44bd6e14adf60587948eb55fc581fa4,g7a1bb411f9,train
c1dea85a5c168,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_3-4_1.wav,ductile iron,NA,NA,NA,NA,3,1,f75cb131f1ba6c7e3240719fe8723092,g93f57e4971,train
c1e54ae43a9f6,leak acoustic data/ductile iron-NA-0.3249 MPa-0.01 ms-noise logger-0-1.wav,ductile iron,NA,0.3249 MPa,0.01 ms,NA,0,,caa8c20c7692fe37b5653c48271eeaf1,gf1d9f8e57a,train
c1e5a1a35b9a6,leak acoustic data/pe-NA-0.1949 MPa-2.02 ms-noise logger-0-1_1.wav,pe,NA,0.1949 MPa,2.02 ms,NA,0,1,dc47ac3c51722e8276c2b42e77d46255,g2568a67ee7,train
c1ed5bae3fcd5,no leak acoustic data/NA-zone 2-NA-NA-noise logger_3-4.wav,NA,zone 2,NA,NA,NA,3,,087d369ca746b01763ffe03c8cc36eb1,g05e2446a61,train
c1ed6145e08e7,leak acoustic data/pe-zone 2-0.3171 MPa-0.57 ms-noise logger-0-1_1.wav,pe,zone 2,0.3171 MPa,0.57 ms,NA,0,1,fecd1da0abd70b242ce405ac34314930,g0acca23c7a,train
c1edfd0896ce2,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_0-1_12.wav,ductile iron,zone 2,NA,NA,NA,0,12,7c6249bf7f019e9d93b21ecd43ddcf25,g3fbe7ffa72,test
c1f4f90ceab92,environmental noise/dog_7-NA-noise logger_0-1.wav,NA,NA,NA,NA,dog_7,0,,3009ac1db2102fd16c894483cb29ca0d,g4f536cdb1f,train
c1f52dff62176,no leak acoustic data/ductile iron-zone 2-NA-NA-hydrophone_0-1_3.wav,ductile iron,zone 2,NA,NA,NA,0,3,d3c92a117c95973a2a10e03a078085c0,g094234dd26,train
c1f6d90ff3109,leak acoustic data/ductile iron-NA-0.3218 MPa-1.15 ms-hydrophone-0-1.wav,ductile iron,NA,0.3218 MPa,1.15 ms,NA,0,,ffa818aeb55689be2eb6289d9b5db3ca,ga507d2b3aa,train
c1f6f5dc288b2,leak acoustic data/ductile iron-zone 2-0.3237 MPa-1.35 ms-noise logger-0-1.wav,ductile iron,zone 2,0.3237 MPa,1.35 ms,NA,0,,6314459b8adacc09fba8233234ddcf0d,g3430d68adc,train
c1f8778882df2,leak acoustic data/ductile iron-NA-0.1767 MPa-3.50 ms-noise logger-0-1_1.wav,ductile iron,NA,0.1767 MPa,3.50 ms,NA,0,1,1377774e1e56b521980da35ea0d14294,gbb52205e9a,test
c1fb776519059,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_3-4_6.wav,ductile iron,NA,NA,NA,NA,3,6,cb1479f710b9327b9f89f2f30ff5970c,g93f57e4971,train
c1fc6c093dcc4,no leak acoustic data/pe-NA-NA-NA-noise logger_0-1_20.wav,pe,NA,NA,NA,NA,0,20,f22c0e342b4b5d4d0376b973a42a0866,g953e24b384,val
c1fee47f9b4f5,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_0-1_10.wav,ductile iron,zone 2,NA,NA,NA,0,10,b788364827ef37ee5391aa683a8a9a04,g3fbe7ffa72,test
c205da3820a47,leak acoustic data/ductile iron-zone 2-0.3132 MPa-0.8 ms-noise logger-0-1_1.wav,ductile iron,zone 2,0.3132 MPa,0.8 ms,NA,0,1,9f8f491b2b6cdc0af8ef6f5136e0eb68,g2b5e88ca49,test
c20b154e99c77,environmental noise/fan motor-NA-noise logger_4-5.wav,NA,NA,NA,NA,fan motor,4,,59ec06556a735dd9ff67c500f961343c,gfc8ccbf519,train
c20c972efdcce,no leak acoustic data/pe-NA-NA-NA-hydrophone_2-3_2.wav,pe,NA,NA,NA,NA,2,2,4a1d7fa00f5dba80acd84ff15b5d3440,g89cac0676b,test
c211a8d93216b,no leak acoustic data/ductile iron-NA-NA-NA-noise logger_0-1_6.wav,ductile iron,NA,NA,NA,NA,0,6,95b1f8f217d99d5f84407df318974c28,g93f57e4971,train
c21382c66a1e0,no leak acoustic data/pe-NA-NA-NA-noise logger_1-2_3.wav,pe,NA,NA,NA,NA,1,3,a575957d044856f69bc2b4d3660c52f5,g953e24b384,val
c213d953c93c7,environmental noise/grass noise-zone 2-noise logger_3-4_1.wav,NA,zone 2,NA,NA,grass noise,3,1,5e3148a8574cdf8f4707cedd42a94f19,g0e3913060e,test
c2149f5a4bc9e,no leak acoustic data/pe-NA-NA-NA-noise logger_0-1_17.wav,pe,NA,NA,NA,NA,0,17,7d899476c873f99827d5810236a37550,g953e24b384,val
c218cadc2240b,no leak acoustic data/ductile iron-zone 2-NA-NA-noise logger_2-3_5.wav,ductile iron,zone 2,NA,NA,NA,2,5,487bc211ed29542150b1dbf015c22aeb,g3fbe7ffa72,test
c21d17c5364a6,leak acoustic data/steel-zone 1-0.32 MPa-NA-noise logger-0-1_2.wav,steel,zone 1,0.32 MPa,NA,NA,0,2,4465e6641a73c82b15e16dcbda46dedf,gbb125903cd,val
